5,-0.572065,0.843744,-0.366402,2.17663,-0.16091,0.000553498,1.3813,2.2618e-14,0.00143628,0.00241295,0.00472403,0.00199131,0.00134167,-7.20866e-09
15,-0.572065,0.843717,-0.366448,2.17663,-0.16091,0.000395356,1.3813,3.02382e-18,-2.75687e-06,-4.63153e-06,0.0062823,0.00461601,-0.00461937,-9.63731e-13
25,-0.572065,0.843717,-0.366448,2.17655,-0.16091,0.000395356,1.3813,4.04256e-22,-0.00118215,-0.00198601,-0.00398484,0.00355692,-0.00685265,-1.28842e-16
35,-0.572065,0.843717,-0.366448,2.17655,-0.160989,0.000474427,1.3813,3.08808e-06,-1.09893e-06,-1.8462e-06,-0.00371087,-0.00656257,0.0034532,-1.7225e-20
45,-0.572065,0.843717,-0.366448,2.17655,-0.16091,0.000395356,1.3813,4.12849e-10,-0.000484433,-0.000813847,-0.00177938,-0.000618147,-0.00917514,-2.30283e-24
55,-0.572065,0.843717,-0.366448,2.17663,-0.160989,0.000474427,1.3813,4.48603e-05,-0.000198602,-0.000333651,0.00626898,-0.00937944,-0.000536182,-3.07867e-28
65,-0.572065,0.843717,-0.366448,2.17655,-0.160989,0.000474427,1.3814,5.99741e-09,0.000470743,-0.000836858,-0.00372894,-0.00926539,0.000716191,0.00217351
75,-0.572065,0.843689,-0.366402,2.17655,-0.16091,0.000553498,1.3814,1.83857e-05,-0.00140244,0.00235609,-0.005904,-0.00121057,0.00172517,0.00127096
85,-0.572065,0.843662,-0.366448,2.17663,-0.16091,0.000553498,1.3814,2.45801e-09,-0.00200291,-0.00336425,0.000320025,0.00174499,0.00174538,1.69915e-07
95,-0.572065,0.843391,-0.36663,2.17663,-0.160989,0.000316285,1.3813,3.08812e-06,-0.00339248,-0.00290687,0.00370918,0.000372757,-0.00372758,-0.00235539
105,-0.572065,0.843445,-0.36663,2.17663,-0.16091,0.000395356,1.3814,0.000109467,0.0015746,-0.00245664,4.95884e-07,0.00179176,0.00179912,2.15755e-06
115,-0.572065,0.843445,-0.366539,2.17663,-0.160989,0.000474427,1.3814,1.46347e-08,-0.000229766,0.00140435,4.28987e-05,-0.00346702,0.00344035,-0.000129767
125,-0.572065,0.843391,-0.36663,2.17663,-0.161068,0.000395356,1.3814,1.95652e-12,-0.00210185,-0.00353086,5.73517e-09,-0.00726096,-0.00440533,-1.73486e-08
135,-0.572065,0.843282,-0.36663,2.17663,-0.160989,0.000316285,1.38151,2.6157e-16,-0.000482353,0.000333078,7.66739e-13,-0.000716959,0.000422701,0.000521765
145,-0.572065,0.843174,-0.366721,2.17663,-0.160989,0.000316285,1.38161,3.49695e-20,-0.00216236,-0.0035625,1.02506e-16,-0.00528475,0.0022687,0.00682837
155,-0.572029,0.842359,-0.367086,2.17663,-0.160989,0.000158142,1.38151,0.00226505,-0.0131237,-0.00747644,1.37041e-20,0.00341785,0.00340957,-0.00447351
165,-0.572065,0.84016,-0.366858,2.17646,-0.161147,-0.000158142,1.38151,-0.000443461,-0.0391344,0.0111506,-0.00527283,0.00444094,-0.00722531,-0.00637995
175,-0.572029,0.835762,-0.368044,2.17638,-0.161305,-0.000158142,1.38151,-0.000650885,-0.0689253,-0.0159513,-0.0069361,0.000135556,-0.00101862,-0.00737598
185,-0.571992,0.827372,-0.368546,2.17621,-0.162333,-0.00118607,1.38151,0.00269426,-0.131844,-0.0054446,-0.00210936,-0.00890651,-0.00869904,-0.00497221
195,-0.571992,0.813526,-0.368272,2.17595,-0.162491,-0.00134421,1.38161,0.00164605,-0.196817,0.00551916,-0.00632204,-0.00214535,-0.00214533,1.80765e-06
205,-0.571919,0.795878,-0.367725,2.17587,-0.16257,-0.00126514,1.38151,0.00269672,-0.230966,0.00691046,-0.000699721,-0.00583616,0.00583011,-0.00750665
215,-0.571846,0.776982,-0.366995,2.17587,-0.162649,-0.00118607,1.38161,0.000530192,-0.235547,0.00390323,0.00433322,-0.0113852,-0.00017818,-0.000310023
225,-0.57159,0.758547,-0.366128,2.17578,-0.16257,-0.001107,1.38161,0.00402981,-0.226182,0.0153314,-0.000133884,7.06657e-06,8.56485e-06,-0.00105932
235,-0.570897,0.740953,-0.365399,2.1757,-0.16257,-0.001107,1.38161,0.0176157,-0.216122,-0.00185181,-0.00251911,-0.000731444,0.000698821,-0.00189033
245,-0.568669,0.723605,-0.364806,2.17544,-0.162491,-0.00102793,1.38161,0.0341675,-0.215132,0.0212531,-0.00735549,0.00438277,0.00728372,-0.00724488
255,-0.56582,0.706853,-0.362388,2.17493,-0.162491,-0.00118607,1.38171,0.0354194,-0.2091,0.0415631,-0.00950975,0.000157771,-0.00705021,-0.00175921
